2025-08-12 17:35:54,10.10.1.22,4.29,success
2025-08-12 17:35:54,10.10.1.34,3.75,success
2025-08-12 17:35:54,10.10.1.42,3.86,success
2025-08-12 17:35:54,10.10.1.45,3.68,success
2025-08-12 17:36:25,10.10.1.34,4.27,success
2025-08-12 17:36:59,10.10.1.20,3.82,success
2025-08-12 17:36:59,10.10.1.21,3.65,success
2025-08-12 17:36:59,10.10.1.34,3.76,success
2025-08-12 17:36:59,10.10.1.43,3.65,success
2025-08-12 17:36:59,10.10.1.47,3.79,success
2025-08-12 17:37:29,10.10.1.30,3.75,success
2025-08-12 17:37:29,10.10.1.38,3.69,success
2025-08-12 17:38:02,10.10.1.20,3.98,success
2025-08-12 17:38:02,10.10.1.26,3.79,success
2025-08-12 17:38:02,10.10.1.39,3.85,success
2025-08-12 17:38:34,10.10.1.24,3.83,success
2025-08-12 17:38:34,10.10.1.43,3.69,success
2025-08-12 17:38:34,10.10.1.45,3.78,success
2025-08-12 17:38:34,10.10.1.47,3.70,success
2025-08-12 17:39:05,10.10.1.41,3.77,success
2025-08-12 17:39:40,10.10.1.21,3.74,success
2025-08-12 17:39:40,10.10.1.25,3.63,success
2025-08-12 17:40:13,10.10.1.23,3.79,success
2025-08-12 17:40:13,10.10.1.25,3.76,success
2025-08-12 17:40:13,10.10.1.37,3.58,success
2025-08-12 17:40:13,10.10.1.40,3.69,success
2025-08-12 17:40:13,10.10.1.47,4.03,success
2025-08-12 17:40:43,10.10.1.30,3.78,success
2025-08-12 17:40:43,10.10.1.31,3.68,success
2025-08-12 17:40:43,10.10.1.37,3.72,success
2025-08-12 17:41:15,10.10.1.45,3.69,success
2025-08-12 17:41:15,10.10.1.49,3.67,success
2025-08-12 17:41:48,10.10.1.20,4.16,success
2025-08-12 17:41:48,10.10.1.24,3.78,success
2025-08-12 17:41:48,10.10.1.29,3.79,success
2025-08-12 17:41:48,10.10.1.34,3.85,success
2025-08-12 17:42:19,10.10.1.26,3.68,success
2025-08-12 17:42:19,10.10.1.28,3.73,success
2025-08-12 17:42:19,10.10.1.39,3.69,success
2025-08-12 17:42:50,10.10.1.22,3.82,success
2025-08-12 17:42:50,10.10.1.26,3.77,success
2025-08-12 17:42:50,10.10.1.37,3.74,success
